year,match_id,stadium_name,city,country,latitude,longitude,elevation_m,team,opponent,team_elo,opp_elo,elo_diff,adapted_flag,rest_days,travel_km,temp_c,humidity,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h,team_xg_1h,team_xg_2h
2022,2022_41,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Saudi Arabia,Poland,NA,NA,NA,NA,4,NA,25,60,0,0,1,1,1.379370686,1.822178582
2022,2022_42,Stadium 974,NA,NA,NA,NA,NA,France,Denmark,NA,NA,NA,FALSE,4,NA,NA,NA,0,2,0,1,4.883144214,10.072713969
2022,2022_42,Stadium 974,NA,NA,NA,NA,NA,Denmark,France,NA,NA,NA,FALSE,4,NA,NA,NA,0,1,0,2,0.561165611,2.631091621
2022,2022_43,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Argentina,Mexico,NA,NA,NA,FALSE,4,NA,NA,NA,0,2,0,0,6.275962934,14.712479982
2022,2022_43,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Mexico,Argentina,NA,NA,NA,FALSE,4,NA,NA,NA,0,0,0,2,1.4454907589,1.6121591520999998
2022,2022_44,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Wales,IR Iran,1439,NA,NA,FALSE,4,NA,NA,NA,0,0,0,2,0.384377818,1.834602883
2022,2022_44,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,IR Iran,Wales,NA,1439,NA,NA,4,NA,NA,NA,0,2,0,0,NA,NA
2022,2022_45,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Qatar,Senegal,NA,NA,NA,FALSE,5,52.80999820276664,25,60,0,1,1,2,0.1482584495,1.259733249
2022,2022_45,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Senegal,Qatar,NA,NA,NA,FALSE,4,0,25,60,1,2,0,1,2.8067435545,1.467984917
2022,2022_46,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Netherlands,Ecuador,NA,NA,NA,FALSE,4,0,25,60,1,0,0,1,1.612287024,7.299000016000001
2022,2022_46,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Ecuador,Netherlands,NA,NA,NA,FALSE,5,52.80999820276664,25,60,0,1,1,0,1.172035751,2.6346926394
2022,2022_47,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,England,United States,2050,NA,NA,FALSE,4,52.80999820276664,25,60,0,0,0,0,2.342743325,6.393112874
2022,2022_47,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,United States,England,NA,2050,NA,NA,4,NA,25,60,0,0,0,0,2.2389452326,1.699592709
2022,2022_48,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Switzerland,Cameroon,NA,NA,NA,FALSE,-1,NA,25,60,0,1,0,0,2.672125062,3.418391293
2022,2022_48,Al Janoub Stadium,Al Wakrah,Qatar,25.0037453,51.4103338,14,Cameroon,Switzerland,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,1,1.5205349259999998,1.5462085242
2022,2022_49,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Uruguay,Korea Republic,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,0,2.173543028,1.0969908286
2022,2022_49,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Korea Republic,Uruguay,NA,NA,NA,NA,-1,NA,25,60,0,0,0,0,NA,NA
2022,2022_50,Stadium 974,NA,NA,NA,NA,NA,Portugal,Ghana,NA,NA,NA,FALSE,-1,NA,NA,NA,0,2,0,2,2.8245293997,4.4881810286
2022,2022_50,Stadium 974,NA,NA,NA,NA,NA,Ghana,Portugal,NA,NA,NA,FALSE,-1,NA,NA,NA,0,2,0,2,1.586131237,1.7671220417
2022,2022_51,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Brazil,Serbia,NA,NA,NA,FALSE,-1,NA,NA,NA,0,2,0,0,4.0432355797,9.5933574015
2022,2022_51,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Serbia,Brazil,NA,NA,NA,FALSE,-1,NA,NA,NA,0,0,0,2,1.200804184,1.889593778
2022,2022_52,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Morocco,Croatia,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,0,2.221128018,6.457241924
2022,2022_52,Al Bayt Stadium,Al Khor,Qatar,25.7567822,51.3269839,28,Croatia,Morocco,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,0,2.843158396,10.3265440029
2022,2022_53,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Germany,Japan,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,2,2.4954951667,5.735582765
2022,2022_53,Khalifa International Stadium,Doha,Qatar,25.3108807,51.5081812,19,Japan,Germany,NA,NA,NA,FALSE,-1,NA,25,60,0,2,0,0,0.972714699,6.410855815
2022,2022_54,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Spain,Costa Rica,NA,NA,NA,FALSE,-1,NA,25,60,2,4,0,0,2.5676409810000003,4.5369862764
2022,2022_54,Al Thumama Stadium,Doha,Qatar,25.3108807,51.5081812,19,Costa Rica,Spain,NA,NA,NA,NA,-1,NA,25,60,0,0,2,4,0.220108489,1.014003962
2022,2022_55,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Belgium,Canada,NA,NA,NA,FALSE,-1,NA,NA,NA,1,0,0,0,1.264217617,2.4302754108
2022,2022_55,Ahmed bin Ali Stadium,NA,NA,NA,NA,NA,Canada,Belgium,NA,NA,NA,FALSE,-1,NA,NA,NA,0,0,1,0,2.067806789,1.86081874
2022,2022_56,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Argentina,Saudi Arabia,NA,NA,NA,FALSE,-1,NA,NA,NA,0,0,0,2,6.275962934,14.712479982
2022,2022_56,Lusail Iconic Stadium,NA,NA,NA,NA,NA,Saudi Arabia,Argentina,NA,NA,NA,NA,-1,NA,NA,NA,0,2,0,0,1.379370686,1.822178582
2022,2022_57,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Denmark,Tunisia,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,0,0.561165611,2.631091621
2022,2022_57,Education City Stadium,Al Rayyan,Qatar,25.0819602,51.158416,47,Tunisia,Denmark,NA,NA,NA,FALSE,-1,NA,25,60,0,0,0,0,1.337193666,1.073258783
2022,2022_58,Stadium 974,NA,NA,NA,NA,NA,Mexico,Poland,NA,NA,NA,FALSE,-1,NA,NA,NA,0,0,0,0,1.4454907589,1.6121591520999998
2022,2022_58,Stadium 974,NA,NA,NA,NA,NA,Poland,Mexico,NA,NA,NA,FALSE,-1,NA,NA,NA,0,0,0,0,1.107264075,3.555957007
