year,match_id,team,goals_for_1h,goals_for_2h,goals_against_1h,goals_against_2h
2014,2014_144,United States,0,0,0,1
2014,2014_144,Germany,0,1,0,0
2014,2014_145,Portugal,0,1,0,1
2014,2014_145,Ghana,0,1,0,1
2014,2014_146,Korea Republic,0,0,0,1
2014,2014_146,Belgium,0,1,0,0
2014,2014_147,Algeria,0,1,1,0
2014,2014_147,Russia,1,0,0,1
2014,2014_148,Bosnia and Herzegovina,1,2,0,1
2014,2014_148,IR Iran,0,1,1,2
2014,2014_149,Nigeria,1,1,2,1
2014,2014_149,Argentina,2,1,1,1
2014,2014_150,Honduras,0,0,2,1
2014,2014_150,Switzerland,2,1,0,0
2014,2014_151,Ecuador,0,0,0,0
2014,2014_151,France,0,0,0,0
2014,2014_152,Costa Rica,0,0,0,0
2014,2014_152,England,0,0,0,0
2014,2014_153,Italy,0,0,0,1
2014,2014_153,Uruguay,0,1,0,0
2014,2014_154,Japan,1,0,0,3
2014,2014_154,Colombia,0,3,1,0
2014,2014_155,Greece,1,0,0,1
2014,2014_155,Côte d'Ivoire,0,1,1,0
2014,2014_156,Australia,0,0,1,2
2014,2014_156,Spain,1,2,0,0
2014,2014_157,Netherlands,0,2,0,0
2014,2014_157,Chile,0,0,0,2
2014,2014_158,Croatia,0,1,0,3
2014,2014_158,Mexico,0,3,0,1
2014,2014_159,Cameroon,1,0,2,2
2014,2014_159,Brazil,2,2,1,0
2014,2014_160,Belgium,0,1,0,0
2014,2014_160,Russia,0,0,0,1
2014,2014_161,Korea Republic,0,2,3,1
2014,2014_161,Algeria,3,1,0,2
2014,2014_162,United States,0,2,1,1
2014,2014_162,Portugal,1,1,0,2
2014,2014_163,Argentina,0,1,0,0
2014,2014_163,IR Iran,0,0,0,1
2014,2014_164,Germany,0,2,0,2
2014,2014_164,Ghana,0,2,0,2
2014,2014_165,Nigeria,1,0,0,0
2014,2014_165,Bosnia and Herzegovina,0,0,1,0
2014,2014_166,Italy,0,0,1,0
2014,2014_166,Costa Rica,1,0,0,0
2014,2014_167,Switzerland,0,2,3,2
2014,2014_167,France,3,2,0,2
2014,2014_168,Honduras,1,0,1,1
2014,2014_168,Ecuador,1,1,1,0
2014,2014_169,Colombia,0,2,0,1
2014,2014_169,Côte d'Ivoire,0,1,0,2
2014,2014_170,Uruguay,1,1,0,1
2014,2014_170,England,0,1,1,1
2014,2014_171,Japan,0,0,0,0
2014,2014_171,Greece,0,0,0,0
2014,2014_172,Australia,1,0,1,2
2014,2014_172,Netherlands,1,2,1,0
2014,2014_173,Spain,0,0,2,0
2014,2014_173,Chile,2,0,0,0
2014,2014_174,Cameroon,0,0,1,3
2014,2014_174,Croatia,1,3,0,0
2014,2014_175,Belgium,0,2,0,0
2014,2014_175,Algeria,0,0,0,2
2014,2014_176,Brazil,0,0,0,0
2014,2014_176,Mexico,0,0,0,0
2014,2014_177,Russia,0,1,0,1
2014,2014_177,Korea Republic,0,1,0,1
2014,2014_178,Germany,2,1,0,0
2014,2014_178,Portugal,0,0,2,1
2014,2014_179,IR Iran,0,0,0,0
2014,2014_179,Nigeria,0,0,0,0
2014,2014_180,Ghana,0,1,1,1
2014,2014_180,United States,1,1,0,1
2014,2014_181,Switzerland,0,2,1,0
2014,2014_181,Ecuador,1,0,0,2
2014,2014_182,France,0,1,0,0
2014,2014_182,Honduras,0,0,0,1
2014,2014_183,Argentina,0,1,0,1
2014,2014_183,Bosnia and Herzegovina,0,1,0,1
2014,2014_184,Colombia,1,2,0,0
2014,2014_184,Greece,0,0,1,2
2014,2014_185,Uruguay,0,0,0,3
2014,2014_185,Costa Rica,0,3,0,0
2014,2014_186,England,1,0,1,1
2014,2014_186,Italy,1,1,1,0
2014,2014_187,Côte d'Ivoire,0,2,1,0
2014,2014_187,Japan,1,0,0,2
2014,2014_188,Mexico,0,1,0,0
2014,2014_188,Cameroon,0,0,0,1
2014,2014_189,Spain,0,0,1,4
2014,2014_189,Netherlands,1,4,0,0
2014,2014_190,Chile,2,1,1,0
2014,2014_190,Australia,1,0,2,1
2014,2014_191,Brazil,1,1,0,0
2014,2014_191,Croatia,0,0,1,1
2010,2010_192,Netherlands,0,0,0,1
2010,2010_192,Spain,0,1,0,0
2010,2010_193,Uruguay,1,1,1,2
2010,2010_193,Germany,1,2,1,1
2010,2010_194,Germany,0,0,0,1
2010,2010_194,Spain,0,1,0,0
2010,2010_195,Uruguay,1,1,1,2
2010,2010_195,Netherlands,1,2,1,1
2010,2010_196,Argentina,0,0,1,3
2010,2010_196,Germany,1,3,0,0
2010,2010_197,Paraguay,0,0,0,1
2010,2010_197,Spain,0,1,0,0
2010,2010_198,Netherlands,0,2,1,0
2010,2010_198,Brazil,1,0,0,2
2010,2010_199,Uruguay,0,1,1,0
2010,2010_199,Ghana,1,0,0,1
2010,2010_200,Paraguay,0,0,0,0
2010,2010_200,Japan,0,0,0,0
2010,2010_201,Spain,0,1,0,0
2010,2010_201,Portugal,0,0,0,1
2010,2010_202,Netherlands,1,1,0,0
2010,2010_202,Slovakia,0,0,1,1
2010,2010_203,Brazil,2,1,0,0
2010,2010_203,Chile,0,0,2,1
2010,2010_204,Germany,2,2,1,0
2010,2010_204,England,1,0,2,2
2010,2010_205,Argentina,2,1,0,1
2010,2010_205,Mexico,0,1,2,1
2010,2010_206,Uruguay,1,1,0,1
2010,2010_206,Korea Republic,0,1,1,1
2010,2010_207,United States,0,0,1,1
2010,2010_207,Ghana,1,1,0,0
2010,2010_208,Portugal,0,0,0,0
2010,2010_208,Brazil,0,0,0,0
2010,2010_209,Korea DPR,0,0,2,1
2010,2010_209,Côte d'Ivoire,2,1,0,0
2010,2010_210,Chile,0,1,2,0
2010,2010_210,Spain,2,0,0,1
2010,2010_211,Switzerland,0,0,0,0
2010,2010_211,Honduras,0,0,0,0
2010,2010_212,Paraguay,0,0,0,0
2010,2010_212,New Zealand,0,0,0,0
2010,2010_213,Slovakia,1,2,0,2
2010,2010_213,Italy,0,2,1,2
2010,2010_214,Denmark,0,1,2,1
2010,2010_214,Japan,2,1,0,1
2010,2010_215,Cameroon,0,0,1,1
2010,2010_215,Netherlands,1,1,0,0
2010,2010_216,Slovenia,0,0,1,0
2010,2010_216,England,1,0,0,0
2010,2010_217,United States,0,1,0,0
2010,2010_217,Algeria,0,0,0,1
2010,2010_218,Ghana,0,0,0,1
2010,2010_218,Germany,0,1,0,0
2010,2010_219,Australia,0,2,0,1
2010,2010_219,Serbia,0,1,0,2
2010,2010_220,Mexico,0,0,1,0
2010,2010_220,Uruguay,1,0,0,0
2010,2010_221,France,0,1,2,0
2010,2010_221,South Africa,2,0,0,1
2010,2010_222,Nigeria,1,0,1,1
2010,2010_222,Korea Republic,1,1,1,0
2010,2010_223,Greece,0,0,0,2
2010,2010_223,Argentina,0,2,0,0
2010,2010_224,Portugal,1,6,0,0
2010,2010_224,Korea DPR,0,0,1,6
2010,2010_225,Chile,0,1,0,0
2010,2010_225,Switzerland,0,0,0,1
2010,2010_226,Spain,1,1,0,0
2010,2010_226,Honduras,0,0,1,1
2010,2010_227,Slovakia,0,0,1,1
2010,2010_227,Paraguay,1,1,0,0
2010,2010_228,Italy,0,0,1,0
2010,2010_228,New Zealand,1,0,0,0
2010,2010_229,Brazil,1,2,0,1
2010,2010_229,Côte d'Ivoire,0,1,1,2
2010,2010_230,Netherlands,0,1,0,0
2010,2010_230,Japan,0,0,0,1
2010,2010_231,Ghana,0,0,1,0
2010,2010_231,Australia,1,0,0,0
2010,2010_232,Cameroon,1,0,1,1
2010,2010_232,Denmark,1,1,1,0
2010,2010_233,Germany,0,0,1,0
2010,2010_233,Serbia,1,0,0,0
2010,2010_234,Slovenia,2,0,0,2
2010,2010_234,United States,0,2,2,0
2010,2010_235,England,0,0,0,0
2010,2010_235,Algeria,0,0,0,0
2010,2010_236,Argentina,1,2,1,0
2010,2010_236,Korea Republic,1,0,1,2
2010,2010_237,Greece,1,1,1,0
2010,2010_237,Nigeria,1,0,1,1
2010,2010_238,France,0,0,0,1
2010,2010_238,Mexico,0,1,0,0
2010,2010_239,Honduras,0,0,1,0
2010,2010_239,Chile,1,0,0,0
2010,2010_240,Spain,0,0,0,1
2010,2010_240,Switzerland,0,1,0,0
2010,2010_241,South Africa,0,0,1,1
2010,2010_241,Uruguay,1,1,0,0
2010,2010_242,New Zealand,0,1,0,1
2010,2010_242,Slovakia,0,1,0,1
2010,2010_243,Côte d'Ivoire,0,0,0,0
2010,2010_243,Portugal,0,0,0,0
2010,2010_244,Brazil,0,2,0,1
2010,2010_244,Korea DPR,0,1,0,2
2010,2010_245,Netherlands,0,1,0,0
2010,2010_245,Denmark,0,0,0,1
2010,2010_246,Japan,1,0,0,0
2010,2010_246,Cameroon,0,0,1,0
2010,2010_247,Italy,0,1,1,0
2010,2010_247,Paraguay,1,0,0,1
2010,2010_248,Algeria,0,0,0,1
2010,2010_248,Slovenia,0,1,0,0
2010,2010_249,Serbia,0,0,0,0
2010,2010_249,Ghana,0,0,0,0
2010,2010_250,Germany,2,2,0,0
2010,2010_250,Australia,0,0,2,2
2010,2010_251,Korea Republic,1,1,0,0
2010,2010_251,Greece,0,0,1,1
2010,2010_252,Argentina,1,0,0,0
2010,2010_252,Nigeria,0,0,1,0
2010,2010_253,England,1,0,1,0
2010,2010_253,United States,1,0,1,0
2010,2010_254,South Africa,0,1,0,1
2010,2010_254,Mexico,0,1,0,1
2010,2010_255,Uruguay,0,0,0,0
2010,2010_255,France,0,0,0,0
2006,2006_256,Italy,1,0,0,0
2006,2006_256,France,0,0,1,0
2006,2006_257,Germany,0,2,0,1
2006,2006_257,Portugal,0,1,0,2
2006,2006_258,Portugal,0,0,0,0
2006,2006_258,France,0,0,0,0
2006,2006_259,Germany,0,0,0,2
2006,2006_259,Italy,0,2,0,0
2006,2006_260,England,0,0,0,0
2006,2006_260,Portugal,0,0,0,0
2006,2006_261,Brazil,0,0,0,1
2006,2006_261,France,0,1,0,0
2006,2006_262,Germany,0,1,0,1
2006,2006_262,Argentina,0,1,0,1
2006,2006_263,Italy,1,2,0,0
2006,2006_263,Ukraine,0,0,1,2
2006,2006_264,Brazil,2,1,0,0
2006,2006_264,Ghana,0,0,2,1
2006,2006_265,Spain,0,0,1,2
2006,2006_265,France,1,2,0,0
2006,2006_266,Italy,0,0,0,0
2006,2006_266,Australia,0,0,0,0
2006,2006_267,Switzerland,0,0,0,0
2006,2006_267,Ukraine,0,0,0,0
2006,2006_268,England,0,1,0,0
2006,2006_268,Ecuador,0,0,0,1
2006,2006_269,Portugal,1,0,0,0
2006,2006_269,Netherlands,0,0,1,0
2006,2006_270,Germany,2,0,0,0
2006,2006_270,Sweden,0,0,2,0
2006,2006_271,Argentina,1,0,1,0
2006,2006_271,Mexico,1,0,1,0
2006,2006_272,Saudi Arabia,0,0,1,0
2006,2006_272,Spain,1,0,0,0
2006,2006_273,Ukraine,0,0,0,0
2006,2006_273,Tunisia,0,0,0,0
2006,2006_274,Togo,0,0,0,2
2006,2006_274,France,0,2,0,0
2006,2006_275,Switzerland,1,1,0,0
2006,2006_275,Korea Republic,0,0,1,1
2006,2006_276,Ghana,1,0,1,0
2006,2006_276,United States,1,0,1,0
2006,2006_277,Czech Republic,0,0,1,1
2006,2006_277,Italy,1,1,0,0
2006,2006_278,Japan,1,0,1,3
2006,2006_278,Brazil,1,3,1,0
2006,2006_279,Croatia,1,1,0,1
2006,2006_279,Australia,0,1,1,1
2006,2006_280,Portugal,1,0,1,0
2006,2006_280,Mexico,1,0,1,0
2006,2006_281,IR Iran,0,1,0,1
2006,2006_281,Angola,0,1,0,1
2006,2006_282,Côte d'Ivoire,0,1,3,0
