match_id,home_team,away_team,year,goal_times
2002_372,Korea Republic,Poland,2002,26;53
2002_373,Croatia,Mexico,2002,
2002_374,Brazil,Türkiye,2002,50;45
2002_375,Italy,Ecuador,2002,7;27
2002_376,Argentina,Nigeria,2002,63
2002_377,Paraguay,South Africa,2002,39;55;63
2002_378,England,Sweden,2002,24;59
2002_379,Spain,Slovenia,2002,44;74;82
2002_380,Republic of Ireland,Cameroon,2002,52;39
2002_381,Uruguay,Denmark,2002,47;45;83
2002_382,Germany,Saudi Arabia,2002,20;25;40;45;70;72;84;90
2002_383,France,Senegal,2002,30
